iter	RMSE
0	0.2821092093
1	0.2596969532
2	0.2400072082
3	0.2224936524
4	0.2070304822
5	0.1932611136
6	0.1811212455
7	0.1704820246
8	0.1611623607
9	0.1530174913
10	0.1457360829
11	0.1395694787
12	0.1341753272
13	0.1293681861
14	0.1251476803
15	0.1216585947
16	0.1184072156
17	0.115548856
18	0.1130798325
19	0.1109719894
20	0.108789573
21	0.1072225968
22	0.1058682306
23	0.1045400637
24	0.1033005378
25	0.1020176673
26	0.1010636648
27	0.1002971726
28	0.09953144646
29	0.09888266723
30	0.09835611089
31	0.09776650988
32	0.0973227765
33	0.09671956616
34	0.0962114188
35	0.09543433635
36	0.09492270166
37	0.094498845
38	0.09414333693
39	0.09366271377
40	0.09322967259
41	0.09286558687
42	0.0925735236
43	0.09225580301
44	0.09180117662
45	0.09152227783
46	0.09126387566
47	0.09103647606
48	0.09078232352
49	0.09054024367
50	0.09027360881
51	0.08989254019
52	0.0897198292
53	0.08955233257
54	0.08941608612
55	0.08915561075
56	0.08902621057
57	0.08887561678
58	0.08873212169
59	0.0886018914
60	0.08848788235
61	0.08823616341
62	0.08805642559
63	0.0878580057
64	0.08770810957
65	0.08754411218
66	0.08738471706
67	0.08718734308
68	0.08709228715
69	0.08697135877
70	0.08682241746
71	0.08666681211
72	0.08649496866
73	0.08640526666
74	0.08630283361
75	0.08621840267
76	0.08611092033
77	0.08604439042
78	0.0859134555
79	0.08583961579
80	0.08576898582
81	0.08564528334
82	0.08554411689
83	0.08546660715
84	0.08536464284
85	0.08520847987
86	0.08508404607
87	0.08498438026
88	0.08483996965
89	0.08477599015
90	0.08469210482
91	0.0846285888
92	0.08452743683
93	0.08446634489
94	0.08441661904
95	0.08436308887
96	0.0842998528
97	0.08424168332
98	0.08418076734
99	0.0841275131
100	0.08407126435
101	0.08403790926
102	0.08398750265
103	0.08391689703
104	0.08388181627
105	0.0838128332
106	0.0837586129
107	0.08370210607
108	0.08365228043
109	0.08361823997
110	0.08355444243
111	0.0834688998
112	0.08340430277
113	0.08335901134
114	0.08332024242
115	0.08327194872
116	0.0832382443
117	0.08318818266
118	0.0831264938
119	0.0830899107
120	0.08303597484
121	0.08300811382
122	0.08294681504
123	0.0828951612
124	0.08284669269
125	0.08280645392
126	0.08278457934
127	0.0827605507
128	0.08272056848
129	0.08268750277
130	0.08266386399
131	0.08262291402
132	0.08260167147
133	0.08257127678
134	0.08254711719
135	0.08251060779
136	0.08248513365
137	0.08245088172
138	0.08241817302
139	0.08238108903
140	0.08235723617
141	0.08230735571
142	0.08227678578
143	0.08225556627
144	0.08222673118
145	0.08219518363
146	0.08216860001
147	0.08213428876
148	0.08210822437
149	0.08208420606
