iter	Passed	Remaining
0	696	103733
1	1354	100198
2	2042	100072
3	2724	99448
4	3378	97978
5	4024	96598
6	4658	95160
7	5317	94380
8	5952	93255
9	6625	92763
10	7245	91555
11	7839	90152
12	8471	89273
13	9086	88272
14	9732	87592
15	10350	86686
16	10992	86003
17	11608	85128
18	12228	84309
19	12964	84270
20	13618	83655
21	14254	82932
22	14854	82020
23	15489	81320
24	16131	80659
25	16781	80033
26	17469	79583
27	18062	78701
28	18692	77992
29	19297	77188
30	19788	75963
31	20350	75044
32	20900	74101
33	21456	73205
34	22089	72580
35	22772	72113
36	23346	71302
37	23920	70501
38	24486	69693
39	25106	69044
40	25644	68178
41	26164	67280
42	26655	66329
43	27177	65472
44	27820	64915
45	28396	64200
46	28938	63418
47	29492	62671
48	29998	61833
49	30640	61281
50	31233	60629
51	31828	59984
52	32431	59356
53	32978	58628
54	33532	57919
55	34076	57199
56	34629	56500
57	35511	56328
58	36381	56113
59	37507	56261
60	38120	55617
61	38723	54962
62	39384	54387
63	40037	53800
64	40618	53116
65	41309	52575
66	42153	52219
67	42915	51751
68	43602	51185
69	44457	50808
70	44906	49966
71	45502	49294
72	46083	48608
73	46663	47925
74	47220	47220
75	47794	46536
76	48370	45858
77	48883	45122
78	49361	44362
79	49902	43665
80	50435	42963
81	50925	42230
82	51552	41614
83	52194	41009
84	52709	40307
85	53357	39707
86	53995	39100
87	54557	38438
88	55181	37820
89	55682	37121
90	56144	36401
91	56721	35758
92	57269	35100
93	57797	34432
94	58282	33742
95	58771	33058
96	59383	32446
97	59859	31762
98	60293	31060
99	60809	30404
100	61287	29733
101	61712	29041
102	62312	28433
103	62856	27802
104	63381	27163
105	63944	26543
106	64546	25939
107	65090	25313
108	65529	24648
109	66122	24044
110	66725	23444
111	67258	22819
112	67885	22227
113	68462	21619
114	68940	20981
115	69529	20379
116	70014	19747
117	70511	19121
118	71132	18530
119	71705	17926
120	72199	17304
121	72757	16698
122	73391	16110
123	74019	15520
124	74565	14913
125	75132	14310
126	75671	13704
127	76052	13071
128	76678	12482
129	77286	11890
130	77833	11288
131	78333	10681
132	78746	10065
133	79231	9460
134	79746	8860
135	80358	8272
136	80768	7664
137	81367	7075
138	81966	6486
139	82543	5895
140	83099	5304
141	83672	4713
142	84106	4117
143	84654	3527
144	85208	2938
145	85783	2350
146	86237	1759
147	86768	1172
148	87341	586
149	87814	0
